"Name","CPU"
"DeepNetworkService","19912,625"
"MsMpEng","8845,1875"
"dwm","7843,515625"
"chrome","5647,625"
"svchost","4066"
"chrome","3695,15625"
"svchost","3026,109375"
"System","2806,484375"
"svchost","2792,984375"
"chrome","2629,65625"
"chrome","2054,78125"
"svchost","1784,796875"
"svchost","1695,21875"
"svchost","1501,625"
"svchost","1367,515625"
"WmiPrvSE","1184,75"
"chrome","1180,84375"
"svchost","1090,765625"
"svchost","1015,28125"
"UnInstDaemon","925,5625"
"AdobeCollabSync","772,375"
"explorer","757,65625"
"sihost","725,125"
"lsass","672,6875"
"chrome","652,90625"
"chrome","606,96875"
"svchost","569,5625"
"AggregatorHost","493,171875"
"DeepStaticService","428,171875"
"svchost","420,4375"
"ApntEx","389,484375"
"svchost","357,96875"
"services","339,640625"
"Apoint","338,9375"
"Memory Compression","330,859375"
"WINWORD","281,5"
"DeepETPService","252,078125"
"svchost","235,90625"
"csrss","232,453125"
"MoUsoCoreWorker","226,375"
"chrome","214,1875"
"chrome","207,265625"
"ApMsgFwd","196,515625"
"svchost","191,421875"
"svchost","181,203125"
"svchost","171,796875"
"svchost","157,890625"
"svchost","154,03125"
"chrome","152,359375"
"LMS","148,65625"
"DpHostW","144,03125"
"chrome","139,65625"
"svchost","138,640625"
"chrome","129,328125"
"svchost","126,796875"
"svchost","125,6875"
"svchost","123,234375"
"svchost","118,359375"
"svchost","98,75"
"RuntimeBroker","98,21875"
"Acrobat","97,265625"
"svchost","96,421875"
"SearchIndexer","95,078125"
"SearchApp","86,703125"
"SynTPEnh","86"
"SmartAudio3","74,484375"
"ctfmon","66,890625"
"MpDefenderCoreService","62,375"
"OfficeClickToRun","57,5625"
"RuntimeBroker","57,234375"
"CxMonSvc","55"
"RuntimeBroker","54,859375"
"svchost","50,609375"
"svchost","46,46875"
"chrome","46,40625"
"StartMenuExperienceHost","46,15625"
"valWBFPolicyService","42,359375"
"RuntimeBroker","39"
"svchost","35,59375"
"chrome","32,3125"
"svchost","31,390625"
"msedge","29,484375"
"svchost","28,71875"
"msedgewebview2","28,15625"
"SearchApp","28,078125"
"svchost","27,96875"
"HPCommRecovery","26,875"
"dllhost","25,984375"
"svchost","25,03125"
"WUDFHost","24,359375"
"hidfind","24,28125"
"BingWallpaper","23,96875"
"svchost","23,84375"
"WmiPrvSE","23,234375"
"csrss","23,203125"
"ShellExperienceHost","21,4375"
"Registry","21,34375"
"svchost","21,046875"
"svchost","19,84375"
"LockApp","18,953125"
"svchost","18,65625"
"msedgewebview2","17,828125"
"Acrobat","15,875"
"svchost","15,765625"
"svchost","15,40625"
"fontdrvhost","14,765625"
"conhost","14,578125"
"powershell","14,4375"
"chrome","14,28125"
"LanWlanWwanSwitchingServiceUWP","13,828125"
"msedgewebview2","13,015625"
"taskhostw","12,90625"
"chrome","12,515625"
"svchost","12,359375"
"NisSrv","11,9375"
"svchost","11,890625"
"taskhostw","11,765625"
"svchost","11,34375"
"chrome","11,09375"
"DPAgent","10,625"
"svchost","9,75"
"msedge","9,640625"
"chrome","9,125"
"msedgewebview2","8,828125"
"msedgewebview2","8,765625"
"svchost","8,46875"
"svchost","8,453125"
"svchost","8,203125"
"OneApp.IGCC.WinService","7,84375"
"TextInputHost","7,0625"
"svchost","7"
"MicTray64","6,8125"
"svchost","6,65625"
"CollaborationKeysController","6,65625"
"chrome","6,390625"
"AcroCEF","6,078125"
"chrome","5,625"
"svchost","5,3125"
"conhost","5,140625"
"AdobeCollabSync","5,109375"
"msedgewebview2","4,796875"
"SnippingTool","4,78125"
"svchost","4,65625"
"taskhostw","4,625"
"svchost","4,578125"
"igfxEM","4,53125"
"svchost","4,5"
"notepad","4,421875"
"CalculatorApp","4,3125"
"powershell","3,78125"
"UserOOBEBroker","3,484375"
"XtuService","3,34375"
"chrome","3,296875"
"svchost","3,25"
"AcroCEF","3,21875"
"ApplicationFrameHost","3,203125"
"msedgewebview2","3,1875"
"svchost","3,15625"
"svchost","3,03125"
"chrome","3"
"msedge","2,796875"
"svchost","2,78125"
"dllhost","2,78125"
