"Name","Status"
"AdobeARMservice","Running"
"ApHidMonitorService","Running"
"Appinfo","Running"
"AppMgmt","Running"
"AppXSvc","Running"
"AudioEndpointBuilder","Running"
"Audiosrv","Running"
"BDESVC","Running"
"BFE","Running"
"BrokerInfrastructure","Running"
"BTAGService","Running"
"BthAvctpSvc","Running"
"bthserv","Running"
"camsvc","Running"
"cbdhsvc_181a42e4","Running"
"CDPSvc","Running"
"CDPUserSvc_181a42e4","Running"
"ClickToRunSvc","Running"
"CoreMessagingRegistrar","Running"
"cphs","Running"
"cplspcon","Running"
"CryptSvc","Running"
"CxMonSvc","Running"
"CxUtilSvc","Running"
"DcomLaunch","Running"
"DeepETPService","Running"
"DeepMgmtService","Running"
"DeepStaticService","Running"
"DeviceAssociationService","Running"
"Dhcp","Running"
"DiagTrack","Running"
"DispBrokerDesktopSvc","Running"
"DisplayEnhancementService","Running"
"Dnscache","Running"
"DoSvc","Running"
"DpHost","Running"
"DPS","Running"
"DsSvc","Running"
"DusmSvc","Running"
"EFS","Running"
"EventLog","Running"
"EventSystem","Running"
"FMAPOService","Running"
"FontCache","Running"
"fpCsEvtSvc","Running"
"gpsvc","Running"
"HotKeyServiceUWP","Running"
"HP Comm Recover","Running"
"HPAudioAnalytics","Running"
"HPMAMSrv","Running"
"hpqcaslwmiex","Running"
"HPSupportSolutionsFrameworkService","Running"
"InstallService","Running"
"ibtsiva","Running"
"igccservice","Running"
"igfxCUIService2.0.0.0","Running"
"iphlpsvc","Running"
"KeyIso","Running"
"LanmanServer","Running"
"LanmanWorkstation","Running"
"LanWlanWwanSwitchingServiceUWP","Running"
"lfsvc","Running"
"LicenseManager","Running"
"lmhosts","Running"
"LMS","Running"
"LSM","Running"
"MDCoreSvc","Running"
"mpssvc","Running"
"NcbService","Running"
"netprofm","Running"
"NlaSvc","Running"
"nsi","Running"
"OneSyncSvc_181a42e4","Running"
"PcaSvc","Running"
"PimIndexMaintenanceSvc_181a42e4","Running"
"PlugPlay","Running"
"Power","Running"
"PrintWorkflowUserSvc_181a42e4","Running"
"ProfSvc","Running"
"RasMan","Running"
"RmSvc","Running"
"RpcEptMapper","Running"
"RpcSs","Running"
"RtkAudioUniversalService","Running"
"SamSs","Running"
"Schedule","Running"
"seclogon","Running"
"SECOMNService","Running"
"SecurityHealthService","Running"
"SEMgrSvc","Running"
"SENS","Running"
"ShellHWDetection","Running"
"Spooler","Running"
"SSDPSRV","Running"
"SstpSvc","Running"
"StateRepository","Running"
"StiSvc","Running"
"StorSvc","Running"
"SynTPEnhService","Running"
"SysMain","Running"
"SystemEventsBroker","Running"
"TabletInputService","Running"
"TapiSrv","Running"
"TbtHostControllerService","Running"
"Themes","Running"
"TimeBrokerSvc","Running"
"TokenBroker","Running"
"TrkWks","Running"
"UnistoreSvc_181a42e4","Running"
"UserDataSvc_181a42e4","Running"
"UserManager","Running"
"UsoSvc","Running"
"valWBFPolicyService","Running"
"VaultSvc","Running"
"W32Time","Running"
"WaaSMedicSvc","Running"
"WbioSrvc","Running"
"Wcmsvc","Running"
"WdiServiceHost","Running"
"WdNisSvc","Running"
"WebClient","Running"
"WinDefend","Running"
"WinHttpAutoProxySvc","Running"
"Winmgmt","Running"
"WlanSvc","Running"
"WpnService","Running"
"WpnUserService_181a42e4","Running"
"wscsvc","Running"
"WSearch","Running"
"wuauserv","Running"
"WwanSvc","Running"
"XTU3SERVICE","Running"
