#TYPE Selected.System.Diagnostics.Process
"Name","CPU"
"Acrobat","15,765625"
"Acrobat","84,953125"
"AcroCEF","0,265625"
"AcroCEF","5,265625"
"AcroCEF","3,15625"
"AcroCEF","2,546875"
"AcroCEF","0,546875"
"AcroCEF","1,09375"
"AdobeCollabSync","634,484375"
"AdobeCollabSync","4,90625"
"AggregatorHost","461,421875"
"ai","0,59375"
"ApMsgFwd","173,546875"
"ApntEx","340,515625"
"Apoint","293,96875"
"ApplicationFrameHost","1,765625"
"AppVShNotify","0,03125"
"armsvc","0,046875"
"audiodg","0,0625"
"BingWallpaper","23,15625"
"CalculatorApp","0,515625"
"chrome","5,625"
"chrome","2,90625"
"chrome","1,328125"
"chrome","3229,390625"
"chrome","2,234375"
"chrome","561,265625"
"chrome","533,78125"
"chrome","0,390625"
"chrome","199,015625"
"chrome","9,984375"
"chrome","10,140625"
"chrome","1953,171875"
"chrome","379,5"
"chrome","150,5625"
"chrome","40,515625"
"chrome","6,796875"
"chrome","1052,40625"
"chrome","31,390625"
"chrome","10,3125"
"chrome","117,578125"
"chrome","5071,4375"
"chrome","197,65625"
"chrome","120,59375"
"chrome","5"
"chrome","0,0625"
"CollaborationKeysController","5,015625"
"CompPkgSrv","0,140625"
"conhost","0,046875"
"conhost","5,125"
"conhost","0,09375"
"conhost","4,90625"
"csrss","21,640625"
"csrss","201,109375"
"ctfmon","54,015625"
"CxMonSvc","51,25"
"CxUtilSvc","0,140625"
"dasHost","0,015625"
"DeepETPService","239,875"
"DeepMgmtService","0,234375"
"DeepNetworkService","18613,71875"
"DeepRpcServer","0,078125"
"DeepStaticService","402,578125"
"dllhost","0,890625"
"dllhost","2,53125"
"dllhost","22,796875"
"dllhost","0,4375"
"DPAgent","10,296875"
"DpAgent","0,171875"
"DpCardEngine","0,203125"
"DpHostW","143,28125"
"dwm","4914,859375"
"explorer","621,34375"
"FMService64","0,625"
"fontdrvhost","0,3125"
"fontdrvhost","13,375"
"fpCSEvtSvc","0,765625"
"hidfind","19,984375"
"HidMonitorSvc","0,03125"
"HotKeyServiceUWP","1,828125"
"HPAudioAnalytics","0,109375"
"HPCommRecovery","26,453125"
"HPHotkeyNotification","1,125"
"hpMAMSrv","0,125"
"hpqwmiex","0,90625"
"HPSupportSolutionsFrameworkService","2,359375"
"Idle",
"IntelCpHDCPSvc","0,015625"
"IntelCpHeciSvc","0,078125"
"ibtsiva","0,140625"
"igfxCUIService","0,125"
"igfxEM","4,40625"
"LanWlanWwanSwitchingServiceUWP","13,671875"
"LMS","147,96875"
"LockApp","18,140625"
"lsass","632,859375"
"Memory Compression","257,34375"
"MicTray64","5,734375"
"MoUsoCoreWorker","208,5625"
"MpDefenderCoreService","59,265625"
"msedge","0,234375"
"msedge","0,125"
"msedge","0,546875"
"msedge","9,34375"
"msedge","0,125"
"msedge","2,28125"
"msedge","22,546875"
"msedge","0,125"
"msedgewebview2","24,4375"
"msedgewebview2","0,046875"
"msedgewebview2","1,8125"
"msedgewebview2","1,703125"
"msedgewebview2","0,359375"
"msedgewebview2","3,015625"
"msedgewebview2","4,125"
"msedgewebview2","10,609375"
"msedgewebview2","17,796875"
"msedgewebview2","0,15625"
"msedgewebview2","8,703125"
"msedgewebview2","8,375"
"msedgewebview2","0,234375"
"msedgewebview2","1,015625"
"msedgewebview2","1,421875"
"msedgewebview2","0,296875"
"msedgewebview2","1,921875"
"msedgewebview2","0,078125"
"msedgewebview2","1,828125"
"msedgewebview2","2,1875"
"msedgewebview2","1,65625"
"msedgewebview2","0,15625"
"msedgewebview2","0,640625"
"msedgewebview2","2,5"
"MsMpEng","8258,328125"
"NisSrv","11,640625"
"notepad","4,390625"
"OfficeClickToRun","53,640625"
"OneApp.IGCC.WinService","7,625"
"OneDrive.Sync.Service","1,65625"
"powershell","3"
"powershell","4,15625"
"Registry","19,59375"
"RtkAudUService64","0,109375"
"RtkAudUService64","0,125"
"RuntimeBroker","0,296875"
"RuntimeBroker","0,28125"
"RuntimeBroker","50,84375"
"RuntimeBroker","1,53125"
"RuntimeBroker","0,25"
"RuntimeBroker","47,46875"
"RuntimeBroker","37,4375"
"RuntimeBroker","76,875"
"SearchApp","73,078125"
"SearchApp","26,734375"
"SearchIndexer","57,453125"
"SearchProtocolHost","0,078125"
"SearchProtocolHost","0,109375"
"SECOMN64","0,40625"
"SecurityHealthService","1,515625"
"services","312,390625"
"ShellExperienceHost","20,3125"
"sihost","639,09375"
"SmartAudio3","70,96875"
"smartscreen","0,171875"
"smss","0,3125"
"SnippingTool","2,421875"
"spoolsv","2,578125"
"StartMenuExperienceHost","38,546875"
"svchost","974,6875"
"svchost","0,046875"
"svchost","82,359375"
"svchost","377,46875"
"svchost","1656,15625"
"svchost","22,8125"
"svchost","3,03125"
"svchost","0,59375"
"svchost","0,921875"
"svchost","6,65625"
"svchost","15,515625"
"svchost","6,53125"
"svchost","114,609375"
"svchost","156,75"
"svchost","11,78125"
"svchost","4,296875"
"svchost","2988,390625"
"svchost","32,640625"
"svchost","0,171875"
"svchost","0,3125"
"svchost","0,21875"
"svchost","0,859375"
"svchost","173,078125"
"svchost","115,609375"
"svchost","323,734375"
"svchost","138,34375"
"svchost","0,4375"
"svchost","96,484375"
"svchost","2573,921875"
"svchost","1,59375"
"svchost","1373,421875"
"svchost","4,65625"
"svchost","9,546875"
"svchost","2,453125"
"svchost","2,890625"
"svchost","15,046875"
"svchost","0,265625"
"svchost","188,5625"
"svchost","16,59375"
"svchost","1,453125"
"svchost","1659,46875"
"svchost","45,53125"
"svchost","3,03125"
"svchost","4,125"
"svchost","1258,359375"
"svchost","150,515625"
"svchost","157,71875"
"svchost","234,140625"
"svchost","8,25"
"svchost","4,65625"
"svchost","120,25"
"svchost","534,71875"
"svchost","926"
"svchost","0,59375"
"svchost","0,125"
"svchost","0,953125"
"svchost","0,03125"
"svchost","0,421875"
"svchost","0,109375"
"svchost","0,609375"
"svchost","0,234375"
"svchost","0,171875"
"svchost","1,71875"
"svchost","3664,421875"
"svchost","0,078125"
"svchost","22,796875"
"svchost","105,828125"
"svchost","0,140625"
"svchost","20,859375"
"svchost","2,5625"
"svchost","19,46875"
"svchost","0,03125"
"svchost","25,6875"
"svchost","46,578125"
"svchost","10,890625"
"svchost","10,578125"
"svchost","0,015625"
"svchost","8,046875"
"svchost","26,78125"
"svchost","8,15625"
"svchost","0,015625"
"svchost","30,34375"
"svchost","0,015625"
"SynTPEnh","84,78125"
"SynTPEnhService","0,125"
"System","2588,5"
"SystemSettings","2,25"
"taskhostw","4,546875"
"taskhostw","11,734375"
"taskhostw","9,046875"
"TextInputHost","6,171875"
"ThunderboltService","0,109375"
"UnInstDaemon","864,328125"
"unsecapp","0,359375"
"UserOOBEBroker","3,1875"
"valWBFPolicyService","39,25"
"Video.UI","0,953125"
"WINWORD","112,046875"
"wininit","0,15625"
"winlogon","2"
"wlanext","0,125"
"WmiPrvSE","1098,640625"
"WmiPrvSE","22,59375"
"WUDFHost","24,078125"
"WUDFHost","2,421875"
"XtuService","3,328125"
